id,x,y,z
0,-7.87405,-2.9878,2.95
1,-1.59777,-11.2646,0.931054
2,-3.71622,-7.81266,0.926913
3,-5.21832,-14.6186,0.928089
4,-6.45111,-4.426,1.69692
5,-0.0447518,-8.49762,0.0105143
6,-4.49973,-8.51642,2.95003
