id,x,y,z
0,-8.70212,-9.25235,1.24973
1,-4.64286,-15.0292,1.52144
2,1.37962,-9.27625,0.634165
3,-6.49385,-4.56026,1.75866
4,-1.44271,-11.4822,1.13099
5,-4.46556,-8.543,2.95002
6,-7.83873,-3.02639,2.95
