v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
-8.3232,-3.5231,-5.5946e-05,-8.176,-3.5268,-5.5231e-05,2379,2380
-3.6257,-13.08,0.84353,-3.5739,-13.073,0.80288,5811,5812
-3.3777,-2.0112,2.7731,-3.2242,-2.0112,2.7749,9939,9940
0.37212,-7.2752,2.95,0.52154,-7.2751,2.95,12243,12244
2.1956,-8.3202,0.0001196,2.342,-8.3231,0.00011895,3667,3668
-8.7578,-9.3711,1.5895e-06,-8.6093,-9.3781,1.1126e-06,3243,3244
-5.7749,-1.4671,-3.1769e-05,-5.623,-1.4646,-3.2187e-05,2795,2796
-2.6266,-7.2767,-9.0444e-06,-2.4769,-7.2771,-9.0601e-06,1811,1812
-10.704,-9.821,7.3314e-06,-10.595,-9.8302,7.0333e-06,3051,3052
-9.6811,-8.0737,2.95,-9.5295,-8.0792,2.95,11923,11924
1.1233,-8.9098,0.86802,1.2577,-8.8875,0.86612,5995,5996
-3.6576,-12.972,2.95,-3.5775,-12.974,2.914,10387,10388
-5.3406,-4.7217,-2.6827e-06,-5.1754,-4.7134,-2.1995e-06,2195,2196
1.863,-9.5245,0.00011121,2.0287,-9.5248,0.00010316,3219,3220
-1.4265,-9.2229,-2.4872e-05,-1.277,-9.2239,-2.5333e-05,1411,1412
-8.9271,-3.2223,-5.9843e-05,-8.7766,-3.2244,-5.9247e-05,2435,2436
-1.2147,-12.454,-3.0041e-05,-1.2517,-12.355,-3.0824e-05,500,529
-0.81273,-8.1759,4.3963e-05,-0.6757,-8.1733,4.3627e-05,3707,3708
-3.671,-2.1496,3.2981e-06,-3.5263,-2.1477,3.3379e-06,4355,4356
-5.0244,-3.9733,-2.0048e-05,-4.8744,-3.9707,-1.996e-05,2307,2308
-2.6249,-8.4753,4.8254e-05,-2.4751,-8.4747,4.7869e-05,3579,3580
-3.2274,-7.2775,2.95,-3.077,-7.2771,2.95,12219,12220
-0.063532,-12.391,0.26435,-0.063599,-12.228,0.38498,4530,4906
1.5777,-7.5749,0.00010218,1.7278,-7.577,0.00010929,3899,3900
-3.511,-13.73,-1.9314e-05,-3.4408,-13.763,-1.7795e-05,315,316
-4.8764,-15.366,-1.1646e-05,-4.7223,-15.36,-1.2196e-05,59,60
-1.4367,-8.3258,4.54e-05,-1.2876,-8.3258,4.5e-05,3643,3644
-5.6184,-15.605,-3.8445e-06,-5.4948,-15.602,-3.624e-06,35,36
1.5791,-7.2776,2.95,1.7307,-7.2733,2.95,12251,12252
-11.623,-9.8807,-1.9054e-05,-11.47,-9.8453,-2.5909e-05,1059,1060
-4.721,-9.5894,2.95,-4.5719,-9.5871,2.95,11227,11228
-1.39,-12.2,2.95,-1.2748,-12.223,2.95,10531,10532
-4.4251,-1.5751,2.95,-4.276,-1.573,2.95,13403,13404
-5.7676,-10.578,-1.8942e-05,-5.0277,-10.287,-2.2553e-05,864,925
-8.3331,-1.4977,2.95,-8.1812,-1.4957,2.95,13411,13412
-8.0203,-9.524,-7.1912e-06,-7.8705,-9.5231,-6.8472e-06,1251,1252
-7.3807,-5.1373,2.95,-7.2701,-5.1732,2.95,12571,12572
-5.1675,-1.457,-3.2187e-05,-5.0251,-1.4546,-3.2187e-05,2799,2800
-5.4683,-15.615,2.95,-5.3254,-15.611,2.95,9999,10000
-4.2761,-4.1255,-2.0929e-05,-4.1251,-4.1235,-2.1075e-05,2287,2288
-6.2792,-0.22918,-5.97e-05,-6.3103,-0.1346,-6.032e-05,2831,2832
-5.9234,-4.7254,-2.6754e-06,-5.7745,-4.7237,-2.7218e-06,2191,2192
-7.4223,-9.2244,-8.1458e-06,-7.2735,-9.2238,-8.1979e-06,1391,1392
-2.4772,-10.424,-2.4828e-05,-2.3272,-10.423,-2.5262e-05,911,912
-3.3748,-15.493,-1.2363e-05,-3.2198,-15.496,-1.4268e-05,47,48
-7.4209,-9.3742,-7.8284e-06,-7.2731,-9.3737,-7.8979e-06,1327,1328
-5.3239,-13.722,-1.7241e-05,-5.1739,-13.718,-1.7145e-05,303,304
-4.1253,-15.368,2.95,-3.9774,-15.364,2.95,10031,10032
2.0281,-9.3757,0.00010526,2.2016,-9.3741,0.00011108,3279,3280
1.5783,-8.29,0.00010827,1.7303,-8.2906,0.00011372,3663,3664
-2.7772,-9.9902,2.3744,-2.6268,-9.9914,2.377,8879,8880
-2.8804,-7.6803,-9.1506e-06,-2.7722,-7.7222,-9.0763e-06,1711,1712
-4.8723,-14.629,-1.4244e-05,-4.7203,-14.625,-1.3648e-05,175,176
1.3251,-8.5758,0.52183,1.3505,-8.5562,0.52404,5343,5344
-8.1736,-4.1247,-5.2923e-05,-8.0829,-4.1205,-5.2625e-05,2271,2272
-4.5776,-1.5559,-3.2266e-05,-4.4356,-1.5677,-3.2224e-05,2783,2784
-9.0743,-1.7288,2.95,-8.9272,-1.7268,2.95,13343,13344
-3.6155,-1.4376,0.91859,-3.5756,-1.4776,0.96075,6623,6624
-8.8642,-2.8427,-6.1274e-05,-8.765,-2.7864,-6.0876e-05,2527,2528
2.4628,-9.8275,2.95,2.6295,-9.8508,2.95,11103,11104
-2.6221,-7.8716,-8.9759e-06,-2.4772,-7.8772,-8.9191e-06,1695,1696
2.772,-7.0725,2.7749,2.9218,-7.0725,2.7775,9887,9888
1.5873,-7.4155,2.9501,1.7458,-7.4224,2.9501,12191,12192
-5.6194,-1.6816,4.2319e-06,-5.4724,-1.6796,4.2319e-06,4415,4416
-6.4546,-0.2534,0.76638,-6.4046,-0.23101,0.83962,6207,6208
2.7811,-10.063,-3.4906e-05,2.9215,-10.078,-3.5008e-05,959,960
2.1944,-7.5729,0.00010741,2.3399,-7.5748,0.00010727,3903,3904
-10.95,-7.9458,0.78224,-10.949,-7.9458,0.85144,6015,6016
2.7929,-10.07,2.35,2.9276,-10.076,2.35,8831,8832
-0.21439,-8.1746,0.0001101,-0.064973,-8.1747,0.00010911,3711,3712
-4.7253,-6.7761,-6.5736e-06,-4.5746,-6.774,-6.5612e-06,1919,1920
-6.0771,-3.6654,5.9605e-08,-5.9278,-3.6634,5.9605e-08,4095,4096
-6.5118,-9.8228,0.22486,-6.5118,-9.8228,0.37504,4665,5030
-6.4556,-16.268,1.7245,-6.4556,-16.268,1.8731,7694,7959
-6.0745,-15.825,-2.2008e-05,-6.0746,-15.666,-1.953e-05,27,32
-3.6761,-13.58,-1.5314e-05,-3.976,-13.264,-1.6634e-05,336,373
-3.975,-6.7697,-6.4829e-06,-3.6735,-6.8104,-8.8687e-06,1924,1926
-6.1974,-16.694,-2.3369e-05,-6.4457,-16.518,0.075426,0,2834
-7.4327,-9.9566,2.5981,-7.2818,-9.9566,2.5771,9484,9485
-4.7309,-1.4497,-3.2187e-05,-4.5791,-1.4471,-3.2187e-05,2802,2803
-5.7777,-7.2718,-4.8575e-06,-5.672,-7.2297,-4.853e-06,1804,1805
-5.0886,-9.4391,2.95,-5.2402,-9.2895,2.95,11308,11384
-3.5732,-5.7766,2.9074,-3.5735,-5.6219,2.9078,12507,12528
-4.1251,-12.698,-2.269e-05,-4.1239,-12.533,-2.7586e-05,467,495
-11.023,-8.0242,2.95,-10.857,-8.0243,2.95,11916,11917
-2.6255,-9.2248,4.705e-05,-2.475,-9.0751,4.6897e-05,3307,3367
-8.1682,-9.5246,-6.8639e-06,-8.0203,-9.524,-7.1912e-06,1250,1251
-6.4529,-4.7246,0.14999,-6.4471,-4.7221,0.15001,4076,4792
-5.9621,-16.575,-2.397e-05,-5.9518,-16.427,-2.3454e-05,6,10
-6.4349,-8.2974,1.8744,-6.4353,-8.2973,2.0144,8117,8384
-7.8796,-8.9246,-1.1218e-06,-7.7277,-8.9248,-1.5883e-06,1485,1486
-3.8263,-15.359,2.95,-3.6724,-15.355,2.95,10033,10034
-4.8828,-1.4522,-3.2187e-05,-4.7309,-1.4497,-3.2187e-05,2801,2802
-7.2818,-9.9566,2.5771,-7.183,-9.9567,2.5569,9485,9486
-3.9743,-3.6685,1.0107e-07,-3.8261,-3.6694,9.3294e-08,4109,4110
-7.123,-9.2238,-8.2231e-06,-6.9727,-9.224,-8.344e-06,1393,1394
-10.857,-8.0243,2.95,-10.42,-8.041,2.95,11917,11918
-6.4545,-0.25036,1.8713,-6.4545,-0.25055,2.172,8223,8752
-1.1337,-7.4263,2.95,-0.96622,-7.4236,2.9501,12173,12174
-3.8261,-3.6694,9.3294e-08,-3.6748,-3.5324,4.1464e-07,4110,4134
-0.82705,-7.425,2.9501,-0.51651,-7.4203,2.9501,12175,12177
-5.9518,-16.427,-2.3454e-05,-5.8498,-16.09,-2.6941e-05,10,19
-6.4457,-16.518,0.075426,-6.4557,-16.433,0.22846,2834,4466
-1.7301,-9.1003,-2.3717e-05,-1.727,-9.0749,4.4931e-05,1459,3372
-6.2322,-0.96719,2.95,-6.1134,-0.98691,2.95,13442,13443
-4.2766,-1.9201,3.8743e-06,-4.275,-1.7327,4.2039e-06,4403,4424
-5.186,-6.7768,-6.1842e-06,-5.0247,-6.7761,-6.5952e-06,1916,1917
-4.2781,-6.7712,-6.5182e-06,-4.1252,-6.7719,-6.5064e-06,1922,1923
-0.22535,-11.921,0.42888,-0.23058,-11.78,0.42842,4917,4921
-6.4557,-16.433,0.22846,-6.4557,-16.434,0.37776,4466,4860
-6.4907,-3.2301,0.97282,-6.4934,-3.0753,0.97401,6584,6586
-0.7784,-12.956,2.3178,-0.77928,-12.956,2.4782,8778,9076
-0.063504,-12.525,1.5745,-0.063504,-12.527,1.7241,7471,7734
2.3485,-8.7796,2.9501,2.3481,-8.4726,2.9501,11639,11777
-6.0736,-13.275,-2.184e-05,-6.0744,-13.123,-2.1215e-05,359,379
-3.5745,-13.063,2.3262,-3.5746,-13.063,2.4744,8775,9073
-2.9332,-2.1665,2.0092e-06,-2.8195,-2.1382,3.4571e-06,4360,4361
-11.02,-9.8282,-2.4956e-05,-10.873,-9.8234,-2.5186e-05,1063,1064
-4.4246,-12.226,-2.7193e-05,-4.2749,-12.222,-2.7014e-05,551,552
-1.7266,-7.8749,4.6872e-05,-1.583,-7.8753,4.651e-05,3799,3800
-5.7795,-1.576,-3.2008e-05,-5.6268,-1.5756,-3.2263e-05,2775,2776
0.37428,-7.2756,-2.6661e-06,0.51465,-7.2829,-2.8532e-06,1831,1832
-8.1823,-3.0762,-4.0509e-05,-8.0834,-3.0786,-5.6471e-05,2471,2472
-5.0224,-3.5254,-3.022e-05,-4.876,-3.5301,-3.0199e-05,2391,2392
-1.4297,-7.8556,-8.5179e-06,-1.2805,-7.8423,-8.4561e-06,1703,1704
-5.3451,-4.5751,-2.4113e-06,-5.1745,-4.5654,-1.8672e-06,2215,2216
-4.7247,-4.7275,-2.227e-06,-4.5759,-4.7246,-2.2027e-06,2199,2200
2.7745,-7.1185,-6.9737e-06,2.9159,-7.1065,-6.8545e-06,1895,1896
-5.9273,-15.976,-2.2003e-05,-5.837,-15.959,-2.6902e-05,23,24
-11.311,-9.8248,9.0599e-06,-11.18,-9.8257,8.7023e-06,3047,3048
0.97971,-9.8262,0.00012109,1.1218,-9.8234,0.00010609,3095,3096
2.3451,-9.0999,9.4063e-05,2.4829,-9.094,8.3268e-05,3399,3400
-0.065637,-8.0255,0.00010916,0.077724,-8.0251,0.00011383,3767,3768
-3.5728,-10.12,0.67506,-3.5728,-10.119,0.75941,5550,5910
-1.4258,-7.2768,2.95,-1.2827,-7.2761,2.95,12231,12232
-2.0249,-8.325,4.6938e-05,-1.8751,-8.3253,4.6551e-05,3639,3640
0.96838,-7.5758,0.00011829,1.114,-7.5728,0.00010267,3895,3896
-11.497,-7.9652,2.4889,-11.306,-7.9659,2.4913,9223,9224
-4.4237,-3.9801,-2.2755e-05,-4.2756,-3.9788,-2.3335e-05,2311,2312
-4.425,-7.3846,2.95,-4.2748,-7.3844,2.95,12151,12152
0.075192,-9.5244,0.0001167,0.22193,-9.5249,0.0001139,3207,3208
-6.2422,-9.2324,-8.7774e-06,-6.1398,-9.2902,-1.1787e-05,1399,1400
-7.39,-1.3035,2.95,-7.2766,-1.2776,2.95,13431,13432
-8.3242,-9.3742,-1.162e-05,-8.3217,-9.3753,1.7881e-07,1321,3246
2.629,-7.137,-6.9936e-06,2.7745,-7.1185,-6.9737e-06,1894,1895
0.52081,-7.4256,2.95,0.67477,-7.4242,2.95,12184,12185
-6.0745,-5.1716,-3.2727e-06,-6.0749,-5.024,-3.06e-06,2130,2150
-5.4902,-13.874,-2.0368e-05,-5.3248,-13.876,-1.6995e-05,280,281
-1.275,-7.2759,-8.536e-06,-1.2867,-7.2755,4.6685e-05,1820,3958
0.241,-7.2611,-4.6301e-06,0.36537,-7.2755,0.00010449,1830,3969
-5.9264,-7.423,-4.9091e-06,-5.8186,-7.3817,-4.9257e-06,1765,1766
-7.1193,-8.6249,-3.3622e-06,-6.9692,-8.6249,-3.7379e-06,1561,1562
